Corridor,Region Path,Location,Country/Region,Craft / Stewardship,Notes,Knowledge Archetype,Sensitivity,Founder Phase,Status,Steward Type,Indigenous Y/N,Ecological Y/N
Tibetan Plateau Stewardship Corridor,Tibet → Bhutan → Nepal,Eastern Himalaya,Bhutan,Medicinal herb stewardship,Traditional Himalayan plant medicine,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Tibetan Plateau Stewardship Corridor,Tibet → Bhutan → Nepal,Kathmandu Valley,Nepal,Newar wood carving,Historic temple carving traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
Tibetan Plateau Stewardship Corridor,Tibet → Bhutan → Nepal,Lhasa,Tibet,Thangka painting,Sacred Buddhist painting traditions,Material Craft,Medium,,Candidate,Craft Master,Y,N
Tibetan Plateau Stewardship Corridor,Tibet → Bhutan → Nepal,Mustang Valley,Nepal,High-altitude pastoralism,Himalayan nomadic grazing systems,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Italian Master Craft Corridor,Tuscany,Florence,Italy,Textile Weaving / Historic Looms,Sub-cluster: Tuscany Corridor | Strong craft lineage | Renaissance textile traditions increasingly mechanized | Master candidate: Daniele Cavali,Textile & Fiber Craft,Low,Founding 13,Candidate,Craft Master,N,N
British Isles Land Stewardship Corridor,UK,Outer Hebrides,Scotland,Harris Tweed Weaving,Sub-cluster: UK Corridor | Textile lineage | Handwoven wool tradition with limited practitioners | Master candidate: TBD,Textile & Fiber Craft,Low,,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Veneto,Venice / Murano,Italy,Glass Blowing / Lagoon Culture,Sub-cluster: Veneto Corridor | Iconic craft center | Murano masters aging; apprentices declining | Master candidate: TBD,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal → Burkina Faso,Bonwire,Ghana,Kente weaving,Royal ceremonial cloth woven on narrow looms | Royal ceremonial textile tradition woven on narrow looms,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal → Burkina Faso,Kaolack Region,Senegal,Griot instrument making,Kora and balafon instrument traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal → Burkina Faso,Ouagadougou Region,Burkina Faso,Lost wax bronze casting,Traditional ritual sculpture technique,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal → Burkina Faso,Saint-Louis,Senegal,Indigo textile dyeing,Historic Sahelian dye traditions,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal,Saint-Louis,Senegal,Indigo dyeing,Sahelian textile dye traditions,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal → Burkina Faso,Segou,Mali,Bogolanfini mud cloth dyeing,Natural dye textile tradition using fermented mud,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
West African Textile & Dye Corridor,Ghana → Mali → Senegal,Segou,Mali,Mud cloth dyeing,Bogolanfini natural dye textile traditions,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
